Company,Product,Address,Deadline
Overseer/Junior Engineer/Supervisors,Urja Developers Pvt. Ltd.,"Kathmandu, Nepal","March 20, 2019, 5 p.m."
Electrical Engineer- Operation and Maintenance,Urja Developers Pvt. Ltd.,"Kathmandu, Nepal","March 20, 2019, 5 p.m."
Mechanical Engineer- Operation and Maintenance,Urja Developers Pvt. Ltd.,"Kathmandu, Nepal","March 20, 2019, 5 p.m."
Plant Operator - Mechanical,Urja Developers Pvt. Ltd.,"Kathmandu, Nepal","March 20, 2019, 5 p.m."
Plant Operator - Electrical,Urja Developers Pvt. Ltd.,"Kathmandu, Nepal","March 20, 2019, 5 p.m."
ENT Surgeon,Shankarapur Hospital & Academy,"Kathmandu, Nepal","March 20, 2019, 5 p.m."
Orthopedic Surgeon,Shankarapur Hospital & Academy,"Kathmandu, Nepal","March 20, 2019, 5 p.m."
Matron,Shankarapur Hospital & Academy,"Kathmandu, Nepal","March 20, 2019, 5 p.m."
Dental Hygienist,Shankarapur Hospital & Academy,"Kathmandu, Nepal","March 20, 2019, 5 p.m."
Science Lab Assistant (Science Lab),KMC School,"Kathmandu, Nepal","March 16, 2019, 5 p.m."
Senior Java Developers,Verisk Nepal,"Kathmandu, Nepal","March 20, 2019, 11:55 p.m."
Sales Executive Officer,Gdigital Media Solutions,"Kathmandu, Nepal","March 10, 2019, 11:55 p.m."
HR Officer,Omnicom Media Group Nepal,"Pokhara, Narayanghat","March 25, 2019, 11:55 p.m."
IELTS Instructor,American Educational Research & Training Center,Kathmandu,"March 12, 2019, 11:59 p.m."
Sales Officer,RB Diamond Jewellers,"Putalisadak, Kathmandu","March 13, 2019, 11:55 p.m."
Secondary Level Science Teacher,Machhapuchchhre School,"Lalitpur, Nepal","March 14, 2019, 5 p.m."
Secondary Level Nepali Teacher,Machhapuchchhre School,"Lalitpur, Nepal","March 14, 2019, 5 p.m."
Lower Secondary Level English/ Computer Teacher,Machhapuchchhre School,"Lalitpur, Nepal","March 14, 2019, 5 p.m."
Primary Level Grade Teachers,Machhapuchchhre School,"Lalitpur, Nepal","March 14, 2019, 5 p.m."
Pre-School Coordinator,Kopila Valley School,"Surkhet, Nepal","March 15, 2019, 5 p.m."
Web Developer/Administrator,A Reputed Construction Company,"Kathmandu, Nepal","March 13, 2019, 11:55 p.m."
Software Engineer- Technical Services,Avionte Solutions ,New Baneshwor,"March 20, 2019, 11:55 p.m."
Wordpress Support Staff,Access Keys,"Kathmandu, Central Development Region, Nepal","March 20, 2019, 11:55 p.m."
Junior PHP Developer,Axis Software Solutions,"Tinkune Marg, Kathmandu, Nepal","March 16, 2019, 11:55 p.m."
Digital Marketing Manager,Thamel Shop,Thamel,"March 14, 2019, 11:55 p.m."
Mechanical Supervisor,Urja Developers Pvt. Ltd.,"Kathmandu, Nepal","March 20, 2019, 5 p.m."
Electrical Supervisor,Urja Developers Pvt. Ltd.,"Kathmandu, Nepal","March 20, 2019, 5 p.m."
Dental Surgeon,Shankarapur Hospital & Academy,"Kathmandu, Nepal","March 20, 2019, 5 p.m."
Education Counselor,S.D Miracle Educational Consultancy,"Kathmandu, Nepal","March 21, 2019, 11:55 p.m."
Risk Management,Prime Commercial Bank,"Kathmandu, Nepal","March 12, 2019, 11:55 p.m."
Branch Manager,Prime Commercial Bank,"Kathmandu, Nepal","March 12, 2019, 11:55 p.m."
Officer Level,Prime Commercial Bank,"Kathmandu, Nepal","March 12, 2019, 11:55 p.m."
Network and System Administrator,Prime Commercial Bank,"Kathmandu, Nepal","March 12, 2019, 11:55 p.m."
Primary Math Teacher,Kopila Valley School,"Surkhet, Nepal","March 15, 2019, 5 p.m."
Secondary English Teacher,Kopila Valley School,"Surkhet, Nepal","March 15, 2019, 5 p.m."
Computer Studies Teacher,Kopila Valley School,"Surkhet, Nepal","March 15, 2019, 5 p.m."
Library Assistant,Kopila Valley School,"Surkhet, Nepal","March 15, 2019, 5 p.m."
Lower Secondary Level Teachers,Meridian International School,"Baluwatar, Kathmandu","March 14, 2019, 5 p.m."
Product Owner,Nepal Republic Media,"Bagdurbar, Kathmandu","March 25, 2019, 5 p.m."
Subject Matter Expert,Nepal Republic Media,"Bagdurbar, Kathmandu","March 25, 2019, 5 p.m."
Business Analyst,Nepal Republic Media,"Bagdurbar, Kathmandu","March 25, 2019, 5 p.m."
SEO Expert,Nepal Republic Media,"Bagdurbar, Kathmandu","March 25, 2019, 5 p.m."
Chartered Accountant,Prime Commercial Bank,"Kathmandu, Nepal","March 12, 2019, 11:55 p.m."
Supervisor Level,Prime Commercial Bank,"Kathmandu, Nepal","March 12, 2019, 11:55 p.m."
Gold Loan Supervisor/ Assistant,Prime Commercial Bank,"Kathmandu, Nepal","March 12, 2019, 11:55 p.m."
IT Assistant,Prime Commercial Bank,"Kathmandu, Nepal","March 12, 2019, 11:55 p.m."
Trainee Assistant,Prime Commercial Bank,"Kathmandu, Nepal","March 12, 2019, 11:55 p.m."
Secondary Level English Teacher,Meridian International School,"Baluwatar, Kathmandu","March 14, 2019, 5 p.m."
Primary Level Teachers,Meridian International School,"Baluwatar, Kathmandu","March 14, 2019, 5 p.m."
Child Psycho Counselor,Meridian International School,"Baluwatar, Kathmandu","March 14, 2019, 5 p.m."
Teacher (Secondary Level),Daffodil School,"Kapan, Saraswati Nagar","March 13, 2019, 5 p.m."
Teacher ( Lower Secondary Level),Daffodil School,"Kapan, Saraswati Nagar","March 13, 2019, 5 p.m."
Radio Program Producer,Himal F.M,"Salleri, Solukhumbu","March 13, 2019, 11:55 p.m."
Clinical Research Fellow,Tilganga Institute of Opthalmology,"Tilganga Institute of Ophthalmology, Kathmandu","March 16, 2019, 5 p.m."
Research Trainee,Tilganga Institute of Opthalmology,"Tilganga Institute of Ophthalmology, Kathmandu","March 16, 2019, 5 p.m."
Call for Qualified Consultants,Strengthening Systems for Better Health,based in Kathmandu with significant field travel,"March 10, 2019, 5 p.m."
Teacher (Primary Level),Daffodil School,"Kapan, Saraswati Nagar","March 13, 2019, 5 p.m."
Grade Teacher - Few,Daffodil School,"Kapan, Saraswati Nagar","March 13, 2019, 5 p.m."
Pre - Primary Teacher (Few),Daffodil School,"Kapan, Saraswati Nagar","March 13, 2019, 5 p.m."
Art Teacher,Daffodil School,"Kapan, Saraswati Nagar","March 13, 2019, 5 p.m."
Secondary Level Maths Teacher,Everest English School,"Bhaktapur, Nepal","March 13, 2019, 5 p.m."
Contract Manager,Kumar Shrestha Nirman Sewa (KSNS),Out of Kathmandu valley,"March 9, 2019, 11:55 p.m."
Site Engineers,Kumar Shrestha Nirman Sewa (KSNS),Out of Kathmandu valley,"March 9, 2019, 11:55 p.m."
Sub Engineers/ Supervisors,Kumar Shrestha Nirman Sewa (KSNS),Out of Kathmandu valley,"March 9, 2019, 11:55 p.m."
Quality Control Officer,Jyoti Group,"Parwanipur, Parsa District","March 9, 2019, 11:55 p.m."
Jr. Purchase Officer,Jyoti Group,"Parwanipur, Parsa District","March 9, 2019, 11:55 p.m."
Secondary Level Social Studies Teacher,Everest English School,"Bhaktapur, Nepal","March 13, 2019, 5 p.m."
Maths Teacher,Everest English School,"Bhaktapur, Nepal","March 13, 2019, 5 p.m."
Academic Coordinator (Lower Secondary Level) - Male,Little Angels' School,"Lalitpur, Nepal","March 11, 2019, 5 p.m."
English Teacher,Everest English School,"Bhaktapur, Nepal","March 13, 2019, 5 p.m."
English Language Teacher (Lower Secondary Level) - Female,Little Angels' School,"Lalitpur, Nepal","March 11, 2019, 5 p.m."
Office Assistant/Secretary,AMA Ghar,"Ama Ghar, Godavari","March 15, 2019, 11:55 p.m."
Senior Marketing Technologist,Omnicom Media Group Nepal,Kathmandu,"March 19, 2019, 11:55 p.m."
Accounts Manager,The Nepal Distilleries,"Kathmandu, Nepal","March 14, 2019, 11:55 p.m."
Brand Manager,The Nepal Distilleries,"Kathmandu, Nepal","March 14, 2019, 11:55 p.m."
Demand Generation Coordinator,Sunaulo Parivar Nepal (SPN),"Bardaghat, Bardibas and Chuchhepati","March 12, 2019, 5 p.m."
Grade Teacher,Everest English School,"Bhaktapur, Nepal","March 13, 2019, 5 p.m."
Science Teacher (Secondary Level),Little Angels' School,"Lalitpur, Nepal","March 11, 2019, 5 p.m."
Art & Craft Teacher (Primary Level) - Female,Little Angels' School,"Lalitpur, Nepal","March 11, 2019, 5 p.m."
EPH/Social Studies Teacher (Secondary/Middle School),KMC School,"Kathmandu, Nepal","March 16, 2019, 5 p.m."
Math/Science Teacher (Secondary/Middle School),KMC School,"Kathmandu, Nepal","March 16, 2019, 5 p.m."
Staff Nurse,Sunaulo Parivar Nepal (SPN),Chandrauta,"March 12, 2019, 5 p.m."
Senior Tax Officer,daraz.com.np,"Kathmandu, Nepal","March 9, 2019, 11:55 p.m."
Marketing Executives,Kanchan Sky Digital Wireless TV,Pepsicola Kathmandu,"March 9, 2019, 11:55 p.m."
Customer Service Representative,daraz.com.np,"Kathmandu, Nepal","March 13, 2019, 11:55 p.m."
Resident Manager,Green Mansions Jungle Resort,"Chitwan, Nepal","March 13, 2019, 11:55 p.m."
Grade/Assistant Teacher (Secondary/Middle School),KMC School,"Kathmandu, Nepal","March 16, 2019, 5 p.m."
Grade/Assistant Teacher (Pre-PrimarySchool),KMC School,"Kathmandu, Nepal","March 16, 2019, 5 p.m."
Computer Teacher/IT Assistant,KMC School,"Kathmandu, Nepal","March 16, 2019, 5 p.m."
"Dance, Music, Sports Teachers - Few (ECA Department)",KMC School,"Kathmandu, Nepal","March 16, 2019, 5 p.m."
Ticketing Officer - Female,Sunny Travels,"Kathmandu, Nepal","March 12, 2019, 11:55 p.m."
Marketing Supervisor/Marketing Representatives,Gunkari Saving and Credit Cooperative,"Pako, New Road","March 13, 2019, 11:55 p.m."
Marketing Officer,A Reputed Multinational Company,Kathmandu,"March 10, 2019, 5 p.m."
Marketing Representative (Money Collector),Shikhar Deep Multipurpose Co-operative,"Bagbazar, Kathmandu","March 11, 2019, 11:55 p.m."
Smart Center Executive,Smart Telecom,"Patan, Mahapal, Lalitpur","March 10, 2019, 11:55 p.m."
English/Social Studies/EPH Teacher,Whitefield Secondary School,"Kathmandu, Nepal","March 14, 2019, 5 p.m."
Teachers,Whitefield Secondary School,"Kathmandu, Nepal","March 14, 2019, 5 p.m."
Pre - School & Elementary Level Teachers,Whitefield Secondary School,"Kathmandu, Nepal","March 14, 2019, 5 p.m."
Grade Teacher (Primary) - Few,Kavya School,"Kathmandu, Nepal","March 14, 2019, 5 p.m."
English Teacher (Primary/Secondary),Kavya School,"Kathmandu, Nepal","March 14, 2019, 5 p.m."
Food Technologist/Microbiologist,Shikhar Organization Limited,"Kharipati, Bhaktapur","March 10, 2019, 11:55 p.m."
PGT/ Business Studies,Modern Indian School,"Kathmandu, Nepal","March 20, 2019, 5 p.m."
TGT/ Dance,Modern Indian School,"Kathmandu, Nepal","March 20, 2019, 5 p.m."
TGT/ Music (Instrument),Modern Indian School,"Kathmandu, Nepal","March 20, 2019, 5 p.m."
C.Mathematics/Opt. Mathematics Teacher (Primary/Secondary),Kavya School,"Kathmandu, Nepal","March 14, 2019, 5 p.m."
Social Studies Teacher (Primary/Secondary),Kavya School,"Kathmandu, Nepal","March 14, 2019, 5 p.m."
Science Teacher (Primary/Secondary),Kavya School,"Kathmandu, Nepal","March 14, 2019, 5 p.m."
HPE Teacher (Secondary),Kavya School,"Kathmandu, Nepal","March 14, 2019, 5 p.m."
Computer Science Teacher (Secondary),Kavya School,"Kathmandu, Nepal","March 14, 2019, 5 p.m."
