Job,Company,Address,Deadline,URL
Mechanical/Electrical/Plumbing (MEP) Engineer,Meinhardt Group,"Kathmandu, Nepal",4/20/2019,www.merojob.com/mep-engineer
Project Monitoring Engineer,East West Engineering Services,"Gorkha, Makawanpur, Nuwakot, Rasuwa and Dhading",4/6/2019,www.merojob.com/project-monitoring-engineer
Road Engineer,Ashish Nirman Sewa,"Kaligandaki Corridor Road Project (Nawalparasi, Palpa)",4/8/2019,www.merojob.com/road-engineer-4
Education Counselor,S.D Miracle Educational Consultancy,"Kathmandu, Nepal",4/10/2019,www.merojob.com/education-counselor-60
Assistant Teacher for Pre-School and School (Female Only),Millsberry School,"Lazimpat, Kathmandu",4/11/2019,www.merojob.com/assistant-teacher-for-pre-school-and-school-female-only
Education Program Officer,Midas Education,Kalikot,4/9/2019,www.merojob.com/education-program-officer-3
"Primary Level Teachers (English, Science and Computer) - Female",Rosebud School,Rukum Paschim,4/9/2019,www.merojob.com/primary-level-teachers-24
Primary Level Part Time Teacher (Nepali) - Female,Rosebud School,"Kathmandu, Nepal",4/9/2019,www.merojob.com/primary-level-teacher-nepali-female
International Marketing Officer,Nova International Pvt Ltd,Kathmandu,4/9/2019,www.merojob.com/international-marketing-officer-3
Marketing Personnel,Bramha Devi Security,"Kathmandu, Nepal",4/7/2019,www.merojob.com/marketing-personnel-18
Digital Executive,daraz.com.np,"Kathmandu, Nepal",4/7/2019,www.merojob.com/digital-executive
Consumer Marketing Assistant Manager,Sastodeal,"Kathmandu, Nepal",4/7/2019,www.merojob.com/consumer-marketing-assistant-manager
Marketing Executive,Echoes Global Education,"City Center, Kamalpokhari, Kathmandu, Nepal",4/12/2019,www.merojob.com/marketing-executive-782
Internal Audit & MIS (Senior / Junior),Jagdamba Steels,"Naxal, Kathmandu",4/13/2019,www.merojob.com/internal-audit-mis-senior-junior
Finance & Admin Officer,Street Child of Nepal,"Kathmandu, Nepal",4/10/2019,www.merojob.com/finance-admin-officer-12
Accounts Officer,Meinhardt Group,"Kathmandu, Nepal",4/20/2019,www.merojob.com/accounts-officer-83
Senior Accountant,Key Foods International,Kathmandu Nepal,4/7/2019,www.merojob.com/senior-accountant-183
Business Development Executive (Female),EZ Trip,"Naxal, Nagpokhari Sadak, Kathmandu",4/19/2019,www.merojob.com/head-of-sales-marketing-preferably-female-2
Zonal Sales Manager,Smart Telecom,"Biratnagar, Nepal",4/25/2019,www.merojob.com/zonal-sales-manager-2
Sales and Marketing Officers,SAVA International (Bonjour Cosmetics & Fragrances),"Durbarmarg, Newroad",4/13/2019,www.merojob.com/sales-and-marketing-officers-4
Office Manager cum Main Counselor,An Education Consultancy,"Kathmandu, Nepal",4/6/2019,www.merojob.com/office-manager-cum-main-counselor
Sales and Marketing Officer( Female),Gene Liberty Nepal,"Putalisadak, Kathmandu",4/11/2019,www.merojob.com/sales-and-marketing-officer-female-3
Senior Oracle – PL/SQL DEVELOPER,COTIVITI NEPAL,"Kathmandu, Nepal",4/8/2019,www.merojob.com/senior-oracle-plsql-developer-2
Oracle – PL/SQL DEVELOPER,COTIVITI NEPAL,"Kathmandu, Nepal",4/8/2019,www.merojob.com/oracle-plsql-developer-2
JAVA Developer,COTIVITI NEPAL,"Kathmandu, Nepal",4/8/2019,www.merojob.com/java-developer-83
Business Analyst,COTIVITI NEPAL,Kathmandu Nepal,4/13/2019,www.merojob.com/business-analyst-26
Marketing Executive,Synergy Therapeutics,"Kathmandu , Janakpur , Pokhara, Biratnagar , Birgunj",4/6/2019,www.merojob.com/marketing-executive-774
प्राविधिक प्रहरी नायव उपरीक्षक (MS Surgery),प्रहरी प्रधान कार्यालय,"Rajbiraj-6, Saptari",4/17/2019,www.merojob.com/ms-surgery
प्रा. उ.से. एम.बि.बि.एस डाक्टर,श्री भर्ना छनाैट निर्दशनालय कार्यरथी विभाग जंगी अड्ढा,"Rajbiraj-6, Saptari",4/12/2019,www.merojob.com/-1614
Expert Consultant (Moderator/Facilitator) for Federalism Learning Summit – 2019,CAMRIS International,Various Discricts,4/6/2019,www.merojob.com/expert-consultant-moderatorfacilitator-for-federalism-learning-summit-2019
Deafblind Educator,Society of Deafblind Parents,"Kathmandu, Nepal with frequent visits to the families of ...",4/7/2019,www.merojob.com/deafblind-educator
Supporter/ Caretaker,Society of Deafblind Parents,"Kathmandu, Nepal with frequent visits to the families of ...",4/7/2019,www.merojob.com/supporter-caretaker
Project Coordinator,Society of Deafblind Parents,"Kathmandu, Nepal with frequent visits to the families of ...",4/7/2019,www.merojob.com/project-coordinator-136
"Specialist- Contract and Project Management, Internal Audit",Ncell,"Kathmandu, Nepal",4/9/2019,www.merojob.com/specialist-contract-and-project-management
Operation Manager,ARC Architects And Engineers,"Kupondole, lalitpur",4/10/2019,www.merojob.com/operation-manager-81
Customer Development - MIS,A Multinational Company,"Kathmandu, Nepal",4/6/2019,www.merojob.com/customer-development-mis
Admissions Officer,An Education Institution,"Kathmandu, Nepal",4/6/2019,www.merojob.com/admissions-officer-2
Branch Incharge,Star Saving and Credit Co-operative,"Kathmandu, Nepal",4/7/2019,www.merojob.com/branch-incharge-16
Senior Business Assistant (Level 5th),Nepal Federation of Savings and Credit Cooperative Unions Limited (NEFSCUN),Janakpur,4/20/2019,www.merojob.com/senior-business-assistant-level-5th
Office Assistant (Level 4th),Nepal Federation of Savings and Credit Cooperative Unions Limited (NEFSCUN),Kaski,4/20/2019,www.merojob.com/office-assistant-level-4th
Office Assistant (Level 3rd),Nepal Federation of Savings and Credit Cooperative Unions Limited (NEFSCUN),"Kathmandu, Nepal",4/20/2019,www.merojob.com/office-assistant-level-3rd
Office Assistant,Nepal Federation of Savings and Credit Cooperative Unions Limited (NEFSCUN),"Kathmandu, Nepal",4/20/2019,www.merojob.com/office-assistant-332
Sales & Marketing Team Member,The Nana Hotels,"Hadigau, Kathmandu",4/13/2019,www.merojob.com/sales-marketing-team-member
Sales Executive,Laser Travel and Tours P. LTD,"Bhaisepati, Lalitpur, Central Development Region, Nepal",4/9/2019,www.merojob.com/sales-executive-452
Tour Officer,Plan Holidays Travels & Tours,"Bhagabatimarg, Thamel  , Kathmandu  Nepal",4/11/2019,www.merojob.com/tour-officer-55
Chef,Rock N Roll Food House,"Kathmandu, Nepal",4/8/2019,www.merojob.com/chef-66
Head Cook,De Lamar Cafe,"Chakrapath, Maharajgunj",4/9/2019,www.merojob.com/head-cook-10
Customer Support Interns - Few,Max Digital TV,"Kathmandu, Nepal",4/6/2019,www.merojob.com/customer-support-interns-few
Content Writer,Global Entrepreneurship Bootcamp,"Anamnagar, Kathmandu",4/6/2019,www.merojob.com/content-writer-202
Front Desk Officer Cum Office Secretary (Female),National Institute of Management Excellence,"Kathmandu, Nepal",4/10/2019,www.merojob.com/front-desk-officer-cum-office-secretary-female
Customer Service Representative (CSR),Digiclip Tech Solutions,"Tinkune, Kathmandu",4/11/2019,www.merojob.com/customer-service-representative-csr-35
Receptionist,Aarati Agritech,"Mitrapark, Chabahil",4/12/2019,www.merojob.com/receptionist-1103
Office Assistant,Capital Enterprises,Lalitpur,4/12/2019,www.merojob.com/office-assistant-333
Executive Secretary to the President,Alfa Beta Institute,"Buddhanagar, New Baneshwor",4/13/2019,www.merojob.com/executive-secretary-to-the-president-2
Quality Assurance Manager,S.R. Drug Laboratories Pvt. Ltd.,"Tripureshwor, Kathmandu",4/6/2019,www.merojob.com/quality-assurance-manager-8
Production Manager,Amrapali Beverage Pvt. Ltd.,"Gaushala, Mahottari",4/12/2019,www.merojob.com/production-manager-59
Production Incharge,Amrapali Beverage Pvt. Ltd.,"Gaushala, Mahottari",4/12/2019,www.merojob.com/production-incharge-2
Process Operator,Amrapali Beverage Pvt. Ltd.,"Gaushala, Mahottari",4/12/2019,www.merojob.com/process-operator
QC Incharge,Amrapali Beverage Pvt. Ltd.,"Gaushala, Mahottari",4/12/2019,www.merojob.com/qc-incharge-3
Graphics Designer,Socheko.com,Kathmandu,4/7/2019,www.merojob.com/graphics-designer-76
Wordpress Developer,Curl Labs,Thamel,4/10/2019,www.merojob.com/graphic-designer-604
Graphic Designer,Curl Labs,Thamel,4/10/2019,www.merojob.com/graphic-designer-605
Photographer / Videographer (INTERNS),1 Minute Production Inc.,Dillibazar,4/12/2019,www.merojob.com/interns-photographer-videographer
Graphics Designer,Global Entrepreneurship Bootcamp,"Anamnagar,Kathmandu",4/13/2019,www.merojob.com/graphics-designer-77
Storekeeper- Few,Chhinnamasta Educational Academy & Medical College,"Rajbiraj-6, Saptari",4/20/2019,www.merojob.com/storekeeper-few
Store Keeper,QbD Pharmaceuticals Pvt. Ltd.,"Sanga, Banepa, Kavre, Nepal",4/18/2019,www.merojob.com/store-keeper-139
Store Assistant,QbD Pharmaceuticals Pvt. Ltd.,"Sanga, Banepa, Kavre, Nepal",4/18/2019,www.merojob.com/store-assistant-21
Intern,Classic Outdoors,Kathmandu,4/11/2019,www.merojob.com/intern-42
Marketing Executive,Rewasoft,"Thirbam Sadak, Baluwatar-4",4/15/2019,www.merojob.com/marketing-executive-785
Assistant Teacher for Pre-School and School (Female Only),Millsberry School,"Lazimpat, Kathmandu",4/11/2019,www.merojob.com/assistant-teacher-for-pre-school-and-school-female-only
Architect,Meinhardt Group,"Kathmandu, Nepal",4/20/2019,www.merojob.com/architect-256
Mechanical/Electrical/Plumbing (MEP) Engineer,Meinhardt Group,"Kathmandu, Nepal",4/20/2019,www.merojob.com/mep-engineer
Sub Engineer/Overseer,Ashish Nirman Sewa,"Kaligandaki Corridor Road Project (Nawalparasi, Palpa)",4/8/2019,www.merojob.com/sub-engineeroverseer
Supervisor,Ashish Nirman Sewa,"Kaligandaki Corridor Road Project (Nawalparasi, Palpa)",4/8/2019,www.merojob.com/supervisor-93
Road Engineer,Tundi Construction,nuwakot,4/17/2019,www.merojob.com/road-engineer-5
Senior Surveyor,Tundi Construction,nuwakot,4/17/2019,www.merojob.com/senior-surveyor-8
Site Supervisor,A Reputed Interior Based Company,Kathmandu,4/8/2019,www.merojob.com/site-supervisor-34
Primary level Grade Teachers (Female),Rosebud School,"Kathmandu, Nepal",4/9/2019,www.merojob.com/primary-level-grade-teachers-female
Counselor (Europe),Wide Range International,"Kathmandu, Nepal",4/7/2019,www.merojob.com/counselor-europe-2
Counselor (Australia/New zealand),Wide Range International,"Kathmandu, Nepal",4/7/2019,www.merojob.com/counselor-australianew-zealand
Residential Primary Science Teacher (Female),Tsoknyi Gechak School,"Chobhar, Kirtipur, Nepal",4/13/2019,www.merojob.com/residential-primary-science-teacher-female
Principal,Essel World Montessori School,Lalitpur,4/10/2019,www.merojob.com/principal-73
Marketing Executive - Itahari /Pokhara,Innovate Nepal Group,"Ithari, Pokhara",4/12/2019,www.merojob.com/marketing-executive-itahari
Marketing Executive,Rewasoft,"Thirbam Sadak, Baluwatar-4",4/15/2019,www.merojob.com/marketing-executive-785
Marketing Representative,Net Payment Solution,"Panipokhari, Kathmandu",4/8/2019,www.merojob.com/marketing-representative-208
Junior Digital Marketing,New IT Venture,"Naxal, Kathmandu",4/10/2019,www.merojob.com/junior-digital-marketing
Business Development Officer,Nepal Clearing House,"Kathmandu, Nepal",4/10/2019,www.merojob.com/business-development-officer-328
Account Officer (Field Based),MiDas Technologies,"Kathmandu, Nepal",4/15/2019,www.merojob.com/account-officer-field-based-2
Junior Loan Officer,Star Saving and Credit Co-operative,"Kathmandu, Nepal",4/7/2019,www.merojob.com/junior-loan-officer-5
Senior Accountant,Professional Holidays,"Panipokhari, Lazimpat, Kathmandu",4/7/2019,www.merojob.com/senior-accountant-185
Senior Accountant,Nepal Broadcasting Channel,"Kathmandu, Nepal",4/16/2019,www.merojob.com/senior-accountant-187
Sales and Marketing Officer,The Regal Inc.,"Kathmandu, Nepal",4/10/2019,www.merojob.com/sales-and-marketing-officer-111
Merchandiser,Tricot Industries,"Biratnagar, Nepal",4/8/2019,www.merojob.com/merchandiser-13
"Sales Officer, Agency Executive (Few)",MetLife Nepal,"Kathmandu, Biratnagar & Hetauda",4/12/2019,www.merojob.com/sales-officer-agency-executive-few
Fashion Merchandiser & Sales,Creative Touch Garment Industry,"Ropeway Sadak, Naya Bazaar, Sorahkhuttae, Kathmandu #16",4/10/2019,www.merojob.com/fashion-merchandiser-sales
Business Development Executive,Digiclip Tech Solutions,"Tinkune, Kathmandu",4/11/2019,www.merojob.com/business-development-executive-141
Frontend Developer,ITONICS Nepal,"Kathmandu, Nepal",4/13/2019,www.merojob.com/frontend-developer-49
Creative Web Designer,Verisk Nepal,"Kathmandu, Nepal",4/13/2019,www.merojob.com/creative-web-designer-22
Jr. Digital Marketing (SEO & SMM),Aakash Tech (InHeadline),"Naxal, Kathmandu",4/8/2019,www.merojob.com/digital-ads-officer
Engineering Manager,UBA Solutions,"Kathmandu, Nepal",4/15/2019,www.merojob.com/engineering-manager-8
Software Architect Engineer (Javascript),UBA Solutions,"Kathmandu, Nepal",4/15/2019,www.merojob.com/software-architect-engineer-javascript
OBS/Gyno- Few,Chhinnamasta Educational Academy & Medical College,"Rajbiraj-6, Saptari",4/20/2019,www.merojob.com/obsgyno-few
Ortho Surgeon- Few,Chhinnamasta Educational Academy & Medical College,"Rajbiraj-6, Saptari",4/20/2019,www.merojob.com/ortho-surgeon-few-2
Pediatrics- Few,Chhinnamasta Educational Academy & Medical College,"Rajbiraj-6, Saptari",4/20/2019,www.merojob.com/pediatrics-few
Neuron Surgeon- Few,Chhinnamasta Educational Academy & Medical College,"Rajbiraj-6, Saptari",4/20/2019,www.merojob.com/neuron-surgeon-few
Radiologist- Few,Chhinnamasta Educational Academy & Medical College,"Rajbiraj-6, Saptari",4/20/2019,www.merojob.com/radiologist-few
"Governance/PFM Expert (National Team Leader), Midterm Evaluation of USIAD/Nepal’s PFMSP",CAMRIS International,Kathmandu,4/17/2019,www.merojob.com/gesipfm-expert-national-team-member-midterm-evaluation-of-usaidnepals-pfmsp
"GESI/PFM expert (National Team Member), Midterm Evaluation of USAID/Nepal’s PFMSP",CAMRIS International,Kathmandu,4/17/2019,www.merojob.com/gesipfm-expert-national-team-member-midterm-evaluation-of-usaidnepals-pfmsp-2
Field Researcher Consultants,CAMRIS International,"Kathmandu, Nepal",4/15/2019,www.merojob.com/field-researcher-consultants
Education Program Specialist-1 Position,Plan International Nepal,"Based in Karnali Field Office, Jumla",4/16/2019,www.merojob.com/education-program-specialist-1-position
Program Coordinator (Girls Agency) -2 Positions,Plan International Nepal,Based in Nepalgunj Field Office and Hetauda Field Office,4/16/2019,www.merojob.com/program-coordinator-girls-agency-2-positions
Supervisor cum Manager,The Regal Inc.,"Kathmandu, Nepal",4/10/2019,www.merojob.com/supervisor-cum-manager
Executive Secretary and Administrative Assistant,Rukmani International,"Kathmandu, Nepal",4/8/2019,www.merojob.com/executive-secretary-and-administrative-assistant-2
Student Services Manager,An Education Institution,"Kathmandu, Nepal",4/9/2019,www.merojob.com/student-services-manager-2
Administrative Manager,A Reputed Supermarket,"Kathmandu, Nepal",4/11/2019,www.merojob.com/administrative-manager-15
General Manager,An Agro Industry,"Kathmandu, Nepal",4/13/2019,www.merojob.com/general-manager-162
Executive -Mutual Fund Scheme Manager,Nabil Investment Banking Ltd.,"Kathmandu, Nepal",4/10/2019,www.merojob.com/executive-mutual-fund-scheme-manager-2
Branch Manager- Few,Lumbini Bikas Bank Ltd.,"Kathmandu, Pokhara, Biratnagar, Birgunj, Nuwakot, Nepalgu...",4/17/2019,www.merojob.com/branch-manager-few-13
Assistant Branch Manager- Few,Lumbini Bikas Bank Ltd.,"Kathmandu, Pokhara, Biratnagar, Birgunj, Nuwakot, Nepalgu...",4/17/2019,www.merojob.com/assistant-branch-manager-few-2
Relationship Officer- Few,Lumbini Bikas Bank Ltd.,"Kathmandu, Pokhara, Biratnagar, Birgunj, Nuwakot, Nepalgu...",4/17/2019,www.merojob.com/relationship-officer-few-2
Deputy Chief Executive Officer,United Insurance Co. (Nepal) Ltd.,"Thapathali, Kathamandu",4/17/2019,www.merojob.com/deputy-chief-executive-officer-11
Helper,De Lamar Cafe,"Chakrapath, Maharajgunj",4/9/2019,www.merojob.com/helper-32
Waiter/ Waitress,De Lamar Cafe,"Chakrapath, Maharajgunj",4/9/2019,www.merojob.com/waiterwaitress-48
House Keeping- Few,Chhinnamasta Educational Academy & Medical College,"Rajbiraj-6, Saptari",4/20/2019,www.merojob.com/house-keeping-few
Assistant Manager - Food & Beverage,Hotel Annapurna,"Kathmandu, Nepal",4/6/2019,www.merojob.com/assistant-manager-food-beverage
Maids,Guheshwari Boarding High School,"Bansbari, Kathmandu",4/7/2019,www.merojob.com/maids
प्राविधिक प्रहरी जवान,प्रहरी प्रधान कार्यालय,"Rajbiraj-6, Saptari",4/17/2019,www.merojob.com/-1578
Security Guard- Few,Chhinnamasta Educational Academy & Medical College,"Bansbari, Kathmandu",4/20/2019,www.merojob.com/security-guard-few-3
Hostel Warden(1 Male/ 1 Female),Guheshwari Boarding High School,"Bansbari, Kathmandu",4/7/2019,www.merojob.com/hostel-warden1-male-1-female
Front Desk Officer,Dharma Adventures,"Kathmandu, Nepal",4/11/2019,www.merojob.com/front-desk-officer-558
Front Desk / Receptionist,Raman General,Lalitpur,4/12/2019,www.merojob.com/front-deskreceptionist-4
Customer Service Representative (CSR),Saturn Outsource,"Kamalpokhari, Kathmandu",4/11/2019,www.merojob.com/customer-service-representative-csr-33
Reception / Executive Assistant,Fast Movers,Baneshwor,4/10/2019,www.merojob.com/reception-executive-assistant
